39_cause_recode,month_of_death,count,total,percentage
21,02,373955,4306494,8.683513781744502
21,03,393542,4306494,9.138338518525742
21,04,359213,4306494,8.34119355559302
21,05,353781,4306494,8.215058467514408
21,06,330260,4306494,7.668883319006134
21,07,336323,4306494,7.809670697323623
21,08,329858,4306494,7.659548579424468
21,09,323189,4306494,7.504689429498798
21,10,349347,4306494,8.112097683173365
21,11,352470,4306494,8.184616070520475
21,12,390168,4306494,9.059991724126402
22,01,192365,2060821,9.334386635229357
22,02,175668,2060821,8.524175559158218
22,03,189338,2060821,9.187503427032235
22,04,172801,2060821,8.385056247000588
22,05,169673,2060821,8.233272079428538
22,06,159071,2060821,7.718816918111762
22,07,161141,2060821,7.819262323122677
22,08,158079,2060821,7.670680762666918
22,09,156576,2060821,7.597748664245948
22,10,168549,2060821,8.178730709751115
22,11,169262,2060821,8.213328571477096
22,12,188298,2060821,9.137038102775543
23,01,28179,301297,9.35256574078069
23,02,25584,301297,8.491289325814726
23,03,27208,301297,9.030292369323293
23,04,24829,301297,8.240706014331375
23,05,24472,301297,8.122218276318716
23,06,22987,301297,7.6293491139971525
23,07,23555,301297,7.817867419854828
23,08,23438,301297,7.779035304035553
23,09,23050,301297,7.650258714822916
23,10,24978,301297,8.290158879776435
23,11,25070,301297,8.320693534950564
23,12,27947,301297,9.275565305993753
24,01,138596,1471444,9.419046868246431
24,02,124555,1471444,8.46481415534672
24,03,132702,1471444,9.018487961485452
24,04,122184,1471444,8.303679922579454
24,05,120986,1471444,8.22226330054015
24,06,111808,1471444,7.598522267921851
24,07,113986,1471444,7.746540133365593
24,08,114119,1471444,7.755578873541909
24,09,113091,1471444,7.685715528419703
24,10,122476,1471444,8.323524374695877
24,11,124109,1471444,8.434503793552455
24,12,132832,1471444,9.027322820304407
25,01,8248,84243,9.790724451883243
25,02,7434,84243,8.824472062960721
25,03,7942,84243,9.427489524352172
25,04,7135,84243,8.469546431157484
25,05,6836,84243,8.114620799354249
25,06,6352,84243,7.540092351886804
25,07,6387,84243,7.5816388305259785
25,08,6354,84243,7.542466436380471
25,09,6168,84243,7.321676578469427
25,10,6855,84243,8.137174602044087
25,11,6820,84243,8.095628123404913
25,12,7712,84243,9.154469807580453
26,01,20241,222159,9.111042091475024
26,02,18494,222159,8.32466836815074
26,03,19890,222159,8.953047141911874
26,04,18135,222159,8.16307239409612
26,05,18446,222159,8.303062221201932
26,06,17146,222159,7.7178957413384115
26,07,17191,222159,7.738151504102918
26,08,17376,222159,7.821425195468111
26,09,17619,222159,7.930806314396446
26,10,18754,222159,8.441701664123444
26,11,19008,222159,8.556034191727546
26,12,19859,222159,8.939093172007437
27,01,74961,606709,12.355346632405322
27,02,63759,606709,10.50899195495699
27,03,65790,606709,10.843748815329919
27,04,51754,606709,8.53028387579548
27,05,45341,606709,7.473269722387505
27,06,40689,606709,6.706510040233455
27,07,39257,606709,6.470482554239347
27,08,37953,606709,6.255552497160913
27,09,38490,606709,6.344062804408704
27,10,44782,606709,7.381133294544831
27,11,46161,606709,7.6084251263785445
27,12,57772,606709,9.522192682158991
28,01,155008,1538728,10.073775222131527
28,02,142988,1538728,9.292610519857961
28,03,154225,1538728,10.02288903561903
28,04,135961,1538728,8.835934616124486
28,05,128780,1538728,8.369250445822782
28,06,115988,1538728,7.537914433220166
28,07,112918,1538728,7.3383989892950545
28,08,109079,1538728,7.08890720127274
28,09,107361,1538728,6.977256539167416
28,10,117637,1538728,7.64508087199297
28,11,120471,1538728,7.82925897234599
28,12,138312,1538728,8.988723153149875
29,01,3115,33924,9.182289824313171
29,02,2865,33924,8.445348425893172
29,03,3165,33924,9.32967810399717
29,04,2818,33924,8.306803442990214
29,05,2871,33924,8.463035019455253
29,06,2522,33924,7.434264827260936
29,07,2685,33924,7.914750619030775
29,08,2615,33924,7.708407027473176
29,09,2724,33924,8.029713477184295
29,10,2745,33924,8.091616554651575
29,11,2812,33924,8.289116849428133
29,12,2987,33924,8.804975828322132
30,01,32282,361128,8.939212689129617
30,02,28831,361128,7.983595844132828
30,03,31047,361128,8.597228683458496
30,04,29316,361128,8.117897255266831
30,05,29527,361128,8.176325291863273
30,06,28437,361128,7.874493254469329
30,07,29219,361128,8.09103697304003
30,08,29655,361128,8.211769787997609
30,09,29074,361128,8.050885004762854
30,10,30585,361128,8.469296205223632
30,11,30568,361128,8.464588733080792
30,12,32587,361128,9.02367027757471
31,01,49207,520221,9.458864597930496
31,02,44701,520221,8.59269425878617
31,03,47739,520221,9.176676835421869
31,04,43184,520221,8.301087422460839
31,05,42269,520221,8.125200635883596
31,06,39776,520221,7.645981227209206
31,07,40500,520221,7.785152848500926
31,08,40441,520221,7.773811514721627
